ticker,mean_absolute_error,r2_score,std
AFLT,1.3236943234815706,0.8458882862670913,5.082258986040654
ALRS,1.5081024352290473,0.5178471591011932,3.13897619619338
GAZP,2.7400571848239585,0.7757009509089989,8.253826539227106
GMKN,193.93686581196513,0.6195011301180354,400.10339706391744
HYDR,0.008283450213573464,0.8608804508388783,0.029495992151987553
IRAO,0.08259151473565601,0.8930028207840772,0.3170735335999861
LKOH,82.13482798823716,0.9245971044968266,429.6300089301808
MGNT,89.13378824013824,0.26857720597719925,149.88174117919027
MOEX,9.324889477083907,-1.5702629193501774,6.979674434676287
MTLR,13.3597065299701,0.6354002926455592,29.194135302610977
MTSS,5.510404751144372,0.873461628885323,20.48204271609254
NLMK,2.9592461786236512,0.8249696248248506,9.062461041165722
ROSN,7.644694134988153,0.8453015705101432,26.98700085079543
RTSI,28.443337263366246,0.1347403909080941,38.260639150806256
SBER,23.33181876868533,0.299573042508563,37.09453925663567
SNGS,0.4744899385524978,0.7582096686629064,1.2408395152351095
VTBR,0.00043621531299002474,0.9061132139180478,0.0023125091787726997
YNDX,48.4572194199557,0.6186892486509818,117.73561499754949
