ticker,mean_absolute_error,r2_score,std
AFLT,0.3777412829658047,0.9856673371883757,5.087194581575565
ALRS,0.28708494239507015,0.9846635221870487,3.138879718111981
GAZP,0.9762353004259305,0.9637892398154639,8.252379890586251
GMKN,47.40800716681256,0.9753723473104348,399.7789056874269
HYDR,0.0020992600319160093,0.9890686833310607,0.029555668119735427
IRAO,0.02195522556248221,0.9916982802813736,0.3175541259552579
LKOH,21.25311594314364,0.994073544557914,429.35564096425423
MGNT,21.408476616974312,0.9591483011986933,150.0440899100049
MOEX,2.5091354028618813,0.7841638701845763,7.024485105007266
MTLR,8.382667090840945,0.8057120281520989,29.252701339785343
MTSS,1.6215608599187796,0.9861452874779998,20.505524432473553
NLMK,0.9809865244937727,0.9761934377461906,9.065424720586577
ROSN,1.8006544061324516,0.9891868898878954,26.990337391653373
RTSI,6.87255738347398,0.9440106456510975,38.52333722834372
SBER,4.189696337883284,0.9706268105033862,37.12675542207314
SNGS,0.10771582220623589,0.9848636520520065,1.2402541952968156
VTBR,0.00013329339244479269,0.9901775072365004,0.002311983598742662
YNDX,11.019292969105411,0.9738127745574884,117.79167940814064
