ticker,mean_absolute_error,r2_score
AFLT,0.1510333890236584,0.9996853108643602
ALRS,0.37569499504158244,0.9993376901010637
GAZP,0.9100065932191725,0.9988812751543645
GMKN,65.33167789792127,0.9990742196441146
HYDR,0.002099236376436497,0.9911253755741115
IRAO,0.013743617073657639,0.9987522513266862
LKOH,18.688526923861296,0.997853123999518
MGNT,17.814586964684555,0.9962783657791588
MOEX,0.4134480788407245,0.9995275014021564
MTLR,0.8099927404149126,0.9977447575975988
MTSS,0.7153442139553808,0.9988607086800031
NLMK,0.6860933861717531,0.9992498326159245
ROSN,1.6832399066188468,0.9983167798412551
RTSI,4.73522223378602,0.9994033074030827
SBER,0.7798043972720834,0.999570512978181
SNGS,0.12774454899356022,0.9982056062899566
VTBR,0.00012121696679563855,0.9997250241461777
YNDX,14.294097683152101,0.9997971037804371
